59. Category: Virtual Machines, 		  Name: D15 v2/DS15 v2, 		 Rate: 2.343000, 		 Region: UK South 
60. Category: Virtual Machines, 		  Name: M64ms, 		 Rate: 12.405000, 		 Region: US South Central 
61. Category: Virtual Machines, 		  Name: E64 v3/E64s v3, 		 Rate: 6.573000, 		 Region: US West 2 
62. Category: Virtual Machines, 		  Name: A3 Low Priority, 		 Rate: 0.142400, 		 Region: UK South 
63. Category: Virtual Machines, 		  Name: Compute Hours, 		 Rate: 3.125000, 		 Region: AU Central 2 
64. Category: Virtual Machines, 		  Name: A3, 		 Rate: 0.160000, 		 Region: US Gov 
65. Category: Virtual Machines, 		  Name: A1, 		 Rate: 0.060000, 		 Region: AP East 
66. Category: Virtual Machines, 		  Name: NC6 Low Priority, 		 Rate: 0.180000, 		 Region:  
67. Category: Virtual Machines, 		  Name: B1ms, 		 Rate: 0.026000, 		 Region: FR Central 
68. Category: Virtual Machines, 		  Name: M128ms, 		 Rate: 54.260000, 		 Region: AU Central 
69. Category: Virtual Machines, 		  Name: A0, 		 Rate: 0.022000, 		 Region: CA East 
70. Category: Virtual Machines, 		  Name: D1 v2/DS1 v2 Low Priority, 		 Rate: 0.061000, 		 Region: AP Southeast 
71. Category: Virtual Machines, 		  Name: D12/DS12, 		 Rate: 0.569000, 		 Region: JA West 
72. Category: Virtual Machines, 		  Name: D5 v2/DS5 v2 - Expired, 		 Rate: 1.053000, 		 Region: EU North 
73. Category: Virtual Machines, 		  Name: NV24 Low Priority, 		 Rate: 0.912000, 		 Region: US North Central 
74. Category: Virtual Machines, 		  Name: D1/DS1 Low Priority, 		 Rate: 0.063000, 		 Region: BR South 
75. Category: Virtual Machines, 		  Name: H16m Low Priority, 		 Rate: 2.279000, 		 Region: AU East 
76. Category: Virtual Machines, 		  Name: D4/DS4, 		 Rate: 0.616000, 		 Region: US West 
77. Category: Virtual Machines, 		  Name: D3 v2/DS3 v2 - Expired, 		 Rate: 0.465000, 		 Region: EU North 
78. Category: Virtual Machines, 		  Name: E16 v3/E16s v3 Low Priority, 		 Rate: 0.746000, 		 Region: EU North 
79. Category: Virtual Machines, 		  Name: F2s v2 Low Priority, 		 Rate: 0.070800, 		 Region: CA East 
80. Category: Virtual Machines, 		  Name: D1 v2/DS1 v2 Low Priority, 		 Rate: 0.046000, 		 Region: KR South 
81. Category: Virtual Machines, 		  Name: D4 v3/D4s v3 Low Priority, 		 Rate: 0.042000, 		 Region: IN Central 
82. Category: Virtual Machines, 		  Name: A0 Low Priority, 		 Rate: 0.012000, 		 Region: AU Central 2 
83. Category: Virtual Machines, 		  Name: F2s v2 Low Priority, 		 Rate: 0.017000, 		 Region: AU East 
84. Category: Virtual Machines, 		  Name: L8s, 		 Rate: 1.112000, 		 Region: EU West 
85. Category: Virtual Machines, 		  Name: A7, 		 Rate: 1.188000, 		 Region: UK South 
86. Category: Virtual Machines, 		  Name: M128ms Low Priority, 		 Rate: 18.356000, 		 Region: IN Central 
87. Category: Virtual Machines, 		  Name: M64ms, 		 Rate: 19.553000, 		 Region: JA East 
88. Category: Virtual Machines, 		  Name: M16s, 		 Rate: 4.197000, 		 Region: KR South 
89. Category: Virtual Machines, 		  Name: A1 Low Priority, 		 Rate: 0.013040, 		 Region: US Gov AZ 
90. Category: Virtual Machines, 		  Name: F1/F1s Low Priority, 		 Rate: 0.010000, 		 Region: US North Central 
91. Category: Virtual Machines, 		  Name: D11 v2/DS11 v2 Low Priority, 		 Rate: 0.038000, 		 Region: EU West 
92. Category: Virtual Machines, 		  Name: NC24, 		 Rate: 5.549000, 		 Region: EU West 
93. Category: Virtual Machines, 		  Name: A6, 		 Rate: 0.401000, 		 Region: US Gov AZ 
94. Category: Virtual Machines, 		  Name: F8s v2, 		 Rate: 0.776000, 		 Region: US Gov TX 
95. Category: Virtual Machines, 		  Name: M32ms, 		 Rate: 7.375000, 		 Region: US South Central 
96. Category: Virtual Machines, 		  Name: F16/F16s, 		 Rate: 1.685000, 		 Region: US Central 
97. Category: Virtual Machines, 		  Name: F2s v2 Low Priority, 		 Rate: 0.070800, 		 Region: IN South 
98. Category: Virtual Machines, 		  Name: E8 v3/E8s v3, 		 Rate: 0.640000, 		 Region: JA West 
99. Category: Virtual Machines, 		  Name: D11/DS11, 		 Rate: 0.242000, 		 Region: JA East 
100. Category: Virtual Machines, 		  Name: A4m v2, 		 Rate: 0.591250, 		 Region: AU Central 
101. Category: Virtual Machines, 		  Name: D1 v2/DS1 v2, 		 Rate: 0.102000, 		 Region: JA East 
102. Category: Virtual Machines, 		  Name: A2 Low Priority, 		 Rate: 0.075000, 		 Region: CA East 
103. Category: Virtual Machines, 		  Name: H8 Low Priority, 		 Rate: 0.605000, 		 Region:  
104. Category: Virtual Machines, 		  Name: D11/DS11 Low Priority, 		 Rate: 0.132000, 		 Region: US West 
105. Category: Virtual Machines, 		  Name: A5 Low Priority, 		 Rate: 0.054000, 		 Region: EU West 
106. Category: Virtual Machines, 		  Name: NV24s, 		 Rate: 3.288000, 		 Region: US South Central 
