94,Virtual Machines,F8s v2,1.065448,US Gov TX
95,Virtual Machines,M32ms,10.125875,US South Central
96,Virtual Machines,F16/F16s,2.313505,US Central
97,Virtual Machines,F2s v2 Low Priority,0.097208,IN South
98,Virtual Machines,E8 v3/E8s v3,0.878720,JA West
99,Virtual Machines,D11/DS11,0.332266,JA East
100,Virtual Machines,A4m v2,0.811786,AU Central
101,Virtual Machines,D1 v2/DS1 v2,0.140046,JA East
102,Virtual Machines,A2 Low Priority,0.102975,CA East
103,Virtual Machines,H8 Low Priority,0.830665,
104,Virtual Machines,D11/DS11 Low Priority,0.181236,US West
105,Virtual Machines,A5 Low Priority,0.074142,EU West
106,Virtual Machines,NV24s,4.514424,US South Central
107,Virtual Machines,D3 v2/DS3 v2 Low Priority,0.359726,US DoD
108,Virtual Machines,A4,0.823800,EU North
109,Virtual Machines,A11 Low Priority,0.428376,US North Central
110,Virtual Machines,D8 v3/D8s v3,0.642564,US West
111,Virtual Machines,D5 v2/DS5 v2,2.767968,US East
112,Virtual Machines,E16 v3/E16s v3,2.724032,UK South
113,Virtual Machines,F8/F8s,0.623342,EU West
114,Virtual Machines,A8m v2 Low Priority,0.192220,UK West
115,Virtual Machines,G4/GS4 Low Priority,1.076432,US West 2
116,Virtual Machines,A7,2.054008,FR Central
117,Virtual Machines,M8ms Low Priority,0.506362,US Gov AZ
118,Virtual Machines,D5 v2/DS5 v2,3.212820,US Gov AZ
119,Virtual Machines,D14 v2/DS14 v2,2.898403,US East
120,Virtual Machines,M64ls,12.740822,UK South
121,Virtual Machines,A1 v2 Low Priority,0.030206,
122,Virtual Machines,F16s v2,1.521284,AU Central
123,Virtual Machines,A4,1.087416,UK South
124,Virtual Machines,D12 v2/DS12 v2 Low Priority,0.104348,EU West
125,Virtual Machines,M64s,17.320395,AU East
126,Virtual Machines,A1 Low Priority,0.024989,FR South
127,Virtual Machines,D15 v2/DS15 v2,2.544169,EU North
128,Virtual Machines,D2 v3/D2s v3,0.171625,AU East
129,Virtual Machines,A2 Low Priority,0.090618,US Gov
130,Virtual Machines,D8 v3/D8s v3,1.489705,AU Central
131,Virtual Machines,D2/DS2 Low Priority,0.042563,US West
132,Virtual Machines,F16/F16s,2.240736,EU North
133,Virtual Machines,A2 v2,0.124943,US South Central
134,Virtual Machines,F16/F16s,2.394512,JA West
135,Virtual Machines,A8m v2 Low Priority,0.527232,IN South
136,Virtual Machines,F32s v2,2.875062,FR South
137,Virtual Machines,M16s Low Priority,0.950391,AU Southeast
138,Virtual Machines,A0 Low Priority,0.005492,IN West
139,Virtual Machines,A1 Low Priority,0.006590,US East 2
140,Virtual Machines,F16s v2,1.438904,BR South
141,Virtual Machines,D3 v2/DS3 v2 - Expired,0.314417,US West 2
142,Virtual Machines,E2 v3/E2s v3,0.172998,US West 2
143,Virtual Machines,F2s v2 Low Priority,0.038032,AU Central 2
144,Virtual Machines,F64s v2 Low Priority,3.110669,FR South
145,Virtual Machines,D4 v3/D4s v3,0.557438,CA East
146,Virtual Machines,D13 v2/DS13 v2,1.024258,US Gov AZ
147,Virtual Machines,F64s v2,9.797728,BR South
148,Virtual Machines,ND24s Low Priority,2.728151,US South Central
149,Virtual Machines,D15 v2/DS15 v2,5.069116,AU Central
150,Virtual Machines,A4,0.604120,US Gov
151,Virtual Machines,D13 v2/DS13 v2 Low Priority,0.652175,CA East
152,Virtual Machines,A8m v2,0.815562,US West
153,Virtual Machines,L8s Low Priority,0.579406,CA East
154,Virtual Machines,NC6,2.136388,AP Southeast
155,Virtual Machines,M16ms,5.785547,US East
156,Virtual Machines,H16r,2.641652,US South Central
157,Virtual Machines,M64s Low Priority,5.807790,CA East
158,Virtual Machines,G1/GS1 Low Priority,0.189474,US Gov TX
159,Virtual Machines,A5,0.407781,UK West
160,Virtual Machines,A3,0.389932,AU East
161,Virtual Machines,F4s v2 Low Priority,0.046682,AU East
162,Virtual Machines,A8m v2 Low Priority,0.436614,US East 2
163,Virtual Machines,A4m v2 Low Priority,0.216934,EU West
164,Virtual Machines,DC4s Low Priority,0.108604,US East
165,Virtual Machines,D64 v3/D64s v3 Low Priority,0.843022,US East
166,Virtual Machines,NC24 Low Priority,0.988560,US East
167,Virtual Machines,A7,1.647600,US East 2
168,Virtual Machines,D4 v2/DS4 v2 - Expired,1.614648,FR Central
169,Virtual Machines,F2s v2 Low Priority,0.097208,IN West
170,Virtual Machines,DC2s Low Priority,0.070572,EU West
171,Virtual Machines,E4 v3/E4s v3 Low Priority,0.277346,EU West
172,Virtual Machines,D5 v2/DS5 v2 - Expired,2.925863,EU West
173,Virtual Machines,M32ls,3.944629,US East
174,Virtual Machines,D14/DS14,3.359731,AU Southeast
175,Virtual Machines,L4s Low Priority,0.094737,CA Central
176,Virtual Machines,G5/GS5,14.471420,AP Southeast
177,Virtual Machines,E64 v3/E64s v3 Low Priority,1.200002,IN West
178,Virtual Machines,M32s,7.515802,US Gov
179,Virtual Machines,A4,0.637072,AP Southeast
180,Virtual Machines,F4/F4s Low Priority,0.064531,UK West
181,Virtual Machines,D13 v2/DS13 v2 - Expired,1.042107,EU West
182,Virtual Machines,D12 v2/DS12 v2 Low Priority,0.137300,AU Central 2
183,Virtual Machines,D2 v3/D2s v3,0.372426,AU Central 2
184,Virtual Machines,B1s,0.024028,CA East
185,Virtual Machines,A4 v2 Low Priority,0.056293,IN West
186,Virtual Machines,A5 Low Priority,0.068650,US East
187,Virtual Machines,E2 v3/E2s v3,0.274600,AU Central 2
188,Virtual Machines,D3 v2/DS3 v2 - Expired,0.803205,US Gov AZ
189,Virtual Machines,F72s v2 Low Priority,0.840276,AU East
190,Virtual Machines,D5 v2/DS5 v2,1.927692,FR Central
191,Virtual Machines,M16s Low Priority,0.950391,AP Southeast
192,Virtual Machines,A1 v2,0.130435,AU Central 2
193,Virtual Machines,NC12 Low Priority,0.593136,US Gov
194,Virtual Machines,A5 Low Priority,0.197712,CA Central
195,Virtual Machines,M16s Low Priority,1.977120,US Gov
196,Virtual Machines,NV24 Low Priority,1.263160,US South Central
197,Virtual Machines,NC12s v2 Low Priority,1.668744,AP Southeast
198,Virtual Machines,F72s v2,9.146926,EU West
199,Virtual Machines,E2 v3/E2s v3,0.200458,US Central
200,Virtual Machines,F16s v2,2.185816,JA East
